,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
118,2TRX,5.0,2.0,5000,0.68588183832521565,0.49326029614505745,30.481024980545044,661.0,579.0,108.0,155064.659118
119,2TRX,5.0,2.0,10000,0.70791905219836948,0.49618107424317937,37.28359413146973,1211.0,1035.0,108.0,155064.659118
120,2TRX,5.0,2.0,20000,0.72201690191176848,0.50242773494151582,57.04732799530029,2591.0,2086.0,108.0,155064.659118
121,2TRX,5.0,3.0,1000,0.69583975632388895,0.49337082027323736,32.852213859558105,1751.0,834.0,108.0,155064.659118
122,2TRX,5.0,3.0,5000,0.7418147431126858,0.51295019235935257,94.6123399734497,8021.0,3677.0,108.0,155064.659118
123,2TRX,5.0,3.0,10000,0.78177283810355391,0.5323076761117479,235.20001697540283,16211.0,6996.0,108.0,155064.659118
124,2TRX,5.0,3.0,20000,0.81096475074020669,0.55602955430442536,667.6081891059875,32811.0,13045.0,108.0,155064.659118
125,2TRX,5.0,5.0,1000,0.70642220392366428,0.49834630421023168,39.739545822143555,6491.0,1361.0,108.0,155064.659118
126,2TRX,5.0,5.0,5000,0.7762279254913429,0.53699551213364427,197.5445728302002,31431.0,6468.0,108.0,155064.659118
127,2TRX,5.0,5.0,10000,0.8176794974770184,0.56029548296472198,594.9759299755096,63021.0,12789.0,108.0,155064.659118
128,2TRX,5.0,5.0,20000,0.85036911300783069,0.59900520921589895,1953.4653570652008,125721.0,25038.0,108.0,155064.659118
129,2TRX,5.0,7.0,1000,0.71883104240817264,0.50288606399469871,47.14649987220764,11041.0,2066.0,108.0,155064.659118
130,2TRX,5.0,7.0,5000,0.79836290648153851,0.55793380960473304,282.21467900276184,54701.0,10135.0,108.0,155064.659118
131,2TRX,5.0,7.0,10000,0.83645836932876982,0.58789538881743431,860.2500419616699,110111.0,20182.0,108.0,155064.659118
132,2TRX,5.0,7.0,20000,0.87254454935680181,0.65426177380739525,2876.826499223709,220211.0,39923.0,108.0,155064.659118
133,2TRX,5.0,10.0,1000,0.73872749354610601,0.51512920626615044,56.29520583152771,18071.0,3126.0,108.0,155064.659118
134,2TRX,5.0,10.0,5000,0.81042618877650352,0.57886924435874465,374.9612259864807,90401.0,15411.0,108.0,155064.659118
135,2TRX,5.0,10.0,10000,0.84671211713849148,0.63336681557452823,1167.1307408809662,181541.0,30785.0,108.0,155064.659118
136,2TRX,5.0,10.0,20000,0.88550206364470752,0.7251120229668464,4031.0905079841614,363141.0,61100.0,108.0,155064.659118
137,2TRX,5.0,15.0,1000,0.7615721289548274,0.53835790748101964,73.78657793998718,30031.0,4853.0,108.0,155064.659118
138,2TRX,5.0,15.0,5000,0.83213470285960378,0.62042272264066056,541.0368511676788,149961.0,24245.0,108.0,155064.659118
139,2TRX,5.0,15.0,10000,0.86139572673416542,0.68883963924356506,1745.031329870224,300271.0,48441.0,108.0,155064.659118
140,2TRX,5.0,15.0,20000,0.87802540765095116,0.74447092619220445,6104.3178679943085,601011.0,96331.0,108.0,155064.659118
141,2TRX,7.0,1.0,1000,0.5,0.5,24.06789517402649,1.0,1.0,108.0,155064.659118
142,2TRX,7.0,1.0,5000,0.5,0.5,25.00840997695923,1.0,1.0,108.0,155064.659118
143,2TRX,7.0,1.0,10000,0.5,0.5,25.359663009643555,1.0,1.0,108.0,155064.659118
144,2TRX,7.0,1.0,20000,0.5,0.5,26.80402112007141,1.0,1.0,108.0,155064.659118
145,2TRX,7.0,2.0,1000,0.57820484402352146,0.49222734218536041,24.436203956604004,11.0,11.0,108.0,155064.659118
146,2TRX,7.0,2.0,5000,0.62048237958420316,0.49335683736934532,25.843492031097412,41.0,40.0,108.0,155064.659118
147,2TRX,7.0,2.0,10000,0.61901418718863077,0.4953447111601596,27.690593004226685,61.0,60.0,108.0,155064.659118
148,2TRX,7.0,2.0,20000,0.66528668942842473,0.49334609862961226,32.21969294548035,181.0,169.0,108.0,155064.659118
149,2TRX,7.0,3.0,1000,0.67999558362333357,0.49051669416603927,28.09767198562622,551.0,352.0,108.0,155064.659118
150,2TRX,7.0,3.0,5000,0.71828068096482656,0.50628913748436921,43.22510504722595,2521.0,1328.0,108.0,155064.659118
151,2TRX,7.0,3.0,10000,0.74213585752296896,0.50971433936801325,70.59355187416077,5121.0,2383.0,108.0,155064.659118
152,2TRX,7.0,3.0,20000,0.76336733550050451,0.52610844061957041,132.22888803482056,9751.0,3940.0,108.0,155064.659118
153,2TRX,7.0,5.0,1000,0.70959120702777001,0.49874232502337279,36.70872497558594,4031.0,967.0,108.0,155064.659118
154,2TRX,7.0,5.0,5000,0.76890297709299582,0.52820979333293239,165.23064994812012,20471.0,4488.0,108.0,155064.659118
155,2TRX,7.0,5.0,10000,0.79859721043444842,0.54828532581631939,447.56932401657104,40301.0,8649.0,108.0,155064.659118
156,2TRX,7.0,5.0,20000,0.83977149464851464,0.57650572987407211,1356.455798149109,81661.0,16412.0,108.0,155064.659118
157,2TRX,7.0,7.0,1000,0.73007847496782541,0.49874479892522428,40.82770013809204,8391.0,1530.0,108.0,155064.659118
158,2TRX,7.0,7.0,5000,0.78394562799780532,0.54091045459773923,301.6162168979645,41641.0,7182.0,108.0,155064.659118
159,2TRX,7.0,7.0,10000,0.82109123273377926,0.56778445638585695,853.1078231334686,82911.0,13860.0,108.0,155064.659118
160,2TRX,7.0,7.0,20000,0.85442729118503025,0.61069490009500815,3947.862237930298,164531.0,26590.0,108.0,155064.659118
161,2TRX,7.0,10.0,1000,0.73974393443534836,0.51066517223448682,56.74803018569946,14781.0,2317.0,108.0,155064.659118
162,2TRX,7.0,10.0,5000,0.81029723732040559,0.56642947530919119,423.19297194480896,73121.0,11240.0,108.0,155064.659118
163,2TRX,7.0,10.0,10000,0.84388445612405638,0.60072391546101978,1331.6249079704285,146921.0,22178.0,108.0,155064.659118
164,2TRX,7.0,10.0,20000,0.87994788001277724,0.67570842288131039,4376.831367015839,292781.0,43109.0,108.0,155064.659118
165,2TRX,7.0,15.0,1000,0.74797997122612603,0.52150788803441117,72.59094381332397,25381.0,3736.0,108.0,155064.659118
166,2TRX,7.0,15.0,5000,0.82139127664470002,0.59873224410058368,603.836354970932,126561.0,18185.0,108.0,155064.659118
167,2TRX,7.0,15.0,10000,0.85906870078458109,0.65455544558306755,1946.9947130680084,253081.0,35997.0,108.0,155064.659118
168,2TRX,7.0,15.0,20000,0.88965632329899969,0.73539192191804825,6655.677390098572,507131.0,70966.0,108.0,155064.659118
169,2TRX,10.0,1.0,1000,0.5,0.5,24.398184061050415,1.0,1.0,108.0,155064.659118
170,2TRX,10.0,1.0,5000,0.5,0.5,25.36124897003174,1.0,1.0,108.0,155064.659118
171,2TRX,10.0,1.0,10000,0.5,0.5,25.54506492614746,1.0,1.0,108.0,155064.659118
172,2TRX,10.0,1.0,20000,0.5,0.5,27.44211196899414,1.0,1.0,108.0,155064.659118
173,2TRX,10.0,2.0,1000,0.5,0.5,24.966660976409912,1.0,1.0,108.0,155064.659118
174,2TRX,10.0,2.0,5000,0.5,0.5,25.909887075424194,1.0,1.0,108.0,155064.659118
175,2TRX,10.0,2.0,10000,0.5,0.5,27.742128133773804,1.0,1.0,108.0,155064.659118
176,2TRX,10.0,2.0,20000,0.5,0.5,30.612486124038696,1.0,1.0,108.0,155064.659118
177,2TRX,10.0,3.0,1000,0.61805842933755195,0.49009844890861831,25.41661286354065,51.0,41.0,108.0,155064.659118
178,2TRX,10.0,3.0,5000,0.66877680694281383,0.4946625052043585,28.104449033737183,231.0,142.0,108.0,155064.659118
179,2TRX,10.0,3.0,10000,0.68014644839876837,0.49757544814930577,31.701884984970093,421.0,242.0,108.0,155064.659118
180,2TRX,10.0,3.0,20000,0.69989540604116507,0.49836467412888752,37.34444499015808,901.0,401.0,108.0,155064.659118
181,2TRX,10.0,5.0,1000,0.69966700182807651,0.49651196293615746,30.86526608467102,1541.0,507.0,108.0,155064.659118
182,2TRX,10.0,5.0,5000,0.73837688043671568,0.50827402803530108,63.143375873565674,7621.0,1738.0,108.0,155064.659118
183,2TRX,10.0,5.0,10000,0.76695690577188402,0.5284498150653284,123.05040216445923,15981.0,3062.0,108.0,155064.659118
184,2TRX,10.0,5.0,20000,0.78617825811024589,0.54472032621570621,264.13433599472046,31671.0,4992.0,108.0,155064.659118
